Día,Dispositivo,Mes,Día de la semana,Región,Campaña,Impresiones,Clics,Conversiones,Coste,CTR,Posic. media,CPC medio,CPM medio,Coste medio,Coste/conv.,Porcentaje de conv.,Valor conv./coste,Valor conv. total,Valor/conv.
18-ene-2017,Móviles,Ene. 2017,Miércoles,Castilla-La Mancha,Shopping - General,685,23,"0,00","2,03 €","3,36 %","0,00","0,09 €","2,96 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
09-abr-2017,Tablets,Abr. 2017,Domingo,Cantabria,Shopping - General,35,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
03-mar-2017,Ordenadores,Mar. 2017,Viernes,Principado de Asturias,Shopping - General,205,2,"0,00","0,19 €","0,98 %","0,00","0,10 €","0,93 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
16-mar-2017,Ordenadores,Mar. 2017,Jueves,Comunidad de Madrid,Shopping - General,1.285,27,"1,00","2,32 €","2,10 %","0,00","0,09 €","1,81 €","0,09 €","2,32 €","3,70 %","14,43","33,47","33,47"
07-jun-2017,Móviles,Jun. 2017,Miércoles,Aragón,Shopping - General,979,15,"0,00","0,82 €","1,53 %","0,00","0,05 €","0,84 €","0,05 €","0,00 €","0,00 %","0,00","0,00","0,00"
08-feb-2017,Tablets,Feb. 2017,Miércoles,Navarra,Shopping - General,67,1,"0,00","0,04 €","1,49 %","0,00","0,04 €","0,60 €","0,04 €","0,00 €","0,00 %","0,00","0,00","0,00"
20-feb-2017,Ordenadores,Feb. 2017,Lunes,Castilla-La Mancha,Shopping - General,431,11,"1,00","1,09 €","2,55 %","0,00","0,10 €","2,53 €","0,10 €","1,09 €","9,09 %","32,10","34,99","34,99"
18-jun-2017,Móviles,Jun. 2017,Domingo,Navarra,Shopping - General,682,11,"0,00","0,74 €","1,61 %","0,00","0,07 €","1,09 €","0,07 €","0,00 €","0,00 %","0,00","0,00","0,00"
09-abr-2017,Tablets,Abr. 2017,Domingo,Sin especificar,Shopping - General,1,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
23-feb-2017,Tablets,Feb. 2017,Jueves,Cantabria,Shopping - General,54,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
24-feb-2017,Tablets,Feb. 2017,Viernes,Extremadura,Shopping - General,56,1,"0,00","0,25 €","1,79 %","0,00","0,25 €","4,46 €","0,25 €","0,00 €","0,00 %","0,00","0,00","0,00"
07-mar-2017,Móviles,Mar. 2017,Martes,Navarra,Shopping - General,172,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
03-abr-2017,Móviles,Abr. 2017,Lunes,Comunidad Valenciana,Shopping - General,1.553,31,"0,00","1,77 €","2,00 %","0,00","0,06 €","1,14 €","0,06 €","0,00 €","0,00 %","0,00","0,00","0,00"
19-mar-2017,Móviles,Mar. 2017,Domingo,Comunidad Valenciana,Shopping - General,780,8,"0,00","0,40 €","1,03 %","0,00","0,05 €","0,51 €","0,05 €","0,00 €","0,00 %","0,00","0,00","0,00"
12-feb-2017,Ordenadores,Feb. 2017,Domingo,Islas Baleares,Shopping - General,368,2,"0,00","0,12 €","0,54 %","0,00","0,06 €","0,33 €","0,06 €","0,00 €","0,00 %","0,00","0,00","0,00"
07-mar-2017,Móviles,Mar. 2017,Martes,País Vasco,Shopping - General,524,2,"0,00","0,16 €","0,38 %","0,00","0,08 €","0,31 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
30-jun-2017,Ordenadores,Jun. 2017,Viernes,Principado de Asturias,Shopping - General,521,10,"0,00","1,60 €","1,92 %","0,00","0,16 €","3,07 €","0,16 €","0,00 €","0,00 %","0,00","0,00","0,00"
17-may-2017,Ordenadores,May. 2017,Miércoles,Cataluña,Shopping - General,2.208,32,"2,00","3,19 €","1,45 %","0,00","0,10 €","1,44 €","0,10 €","1,60 €","6,25 %","46,06","146,92","73,46"
15-mar-2017,Móviles,Mar. 2017,Miércoles,La Rioja,Shopping - General,79,3,"0,00","0,18 €","3,80 %","0,00","0,06 €","2,28 €","0,06 €","0,00 €","0,00 %","0,00","0,00","0,00"
27-feb-2017,Móviles,Feb. 2017,Lunes,Castilla-La Mancha,Shopping - General,715,7,"0,00","0,66 €","0,98 %","0,00","0,09 €","0,92 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
23-ene-2017,Tablets,Ene. 2017,Lunes,Cantabria,Shopping - General,125,2,"0,00","0,26 €","1,60 %","0,00","0,13 €","2,08 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
10-feb-2017,Móviles,Feb. 2017,Viernes,Comunidad Valenciana,Shopping - General,3.339,72,"0,00","5,98 €","2,16 %","0,00","0,08 €","1,79 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
18-may-2017,Tablets,May. 2017,Jueves,Galicia,Shopping - General,85,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
11-may-2017,Tablets,May. 2017,Jueves,Andalucía,Shopping - General,2.613,31,"0,00","3,94 €","1,19 %","0,00","0,13 €","1,51 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
15-may-2017,Ordenadores,May. 2017,Lunes,Extremadura,Shopping - General,543,9,"0,00","2,06 €","1,66 %","0,00","0,23 €","3,79 €","0,23 €","0,00 €","0,00 %","0,00","0,00","0,00"
19-abr-2017,Móviles,Abr. 2017,Miércoles,Comunidad de Madrid,Shopping - General,14.369,134,"0,00","12,98 €","0,93 %","0,00","0,10 €","0,90 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
14-jun-2017,Tablets,Jun. 2017,Miércoles,Galicia,Shopping - General,171,2,"0,00","0,13 €","1,17 %","0,00","0,06 €","0,76 €","0,06 €","0,00 €","0,00 %","0,00","0,00","0,00"
19-jun-2017,Móviles,Jun. 2017,Lunes,Comunidad Valenciana,Shopping - General,2.467,52,"1,00","1,73 €","2,11 %","0,00","0,03 €","0,70 €","0,03 €","1,73 €","1,92 %","21,66","37,48","37,48"
27-feb-2017,Móviles,Feb. 2017,Lunes,Comunidad Valenciana,Shopping - General,1.925,38,"0,00","2,99 €","1,97 %","0,00","0,08 €","1,55 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
28-ene-2017,Ordenadores,Ene. 2017,Sábado,Aragón,Shopping - General,291,2,"0,00","0,15 €","0,69 %","0,00","0,08 €","0,52 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
07-feb-2017,Ordenadores,Feb. 2017,Martes,Castilla y León,Shopping - General,1.147,30,"0,00","2,52 €","2,62 %","0,00","0,08 €","2,20 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
04-ene-2017,Tablets,Ene. 2017,Miércoles,Galicia,Shopping - General,717,13,"0,00","1,70 €","1,81 %","0,00","0,13 €","2,37 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
04-may-2017,Ordenadores,May. 2017,Jueves,Región de Murcia,Shopping - General,122,5,"0,00","0,32 €","4,10 %","0,00","0,06 €","2,62 €","0,06 €","0,00 €","0,00 %","0,00","0,00","0,00"
03-jul-2017,Móviles,Jul. 2017,Lunes,Aragón,Shopping - General,1.521,38,"0,00","3,32 €","2,50 %","0,00","0,09 €","2,18 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
16-jul-2017,Móviles,Jul. 2017,Domingo,La Rioja,Shopping - General,581,14,"0,00","1,15 €","2,41 %","0,00","0,08 €","1,98 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
28-may-2017,Ordenadores,May. 2017,Domingo,Región de Murcia,Shopping - General,461,7,"0,00","0,64 €","1,52 %","0,00","0,09 €","1,39 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
27-feb-2017,Móviles,Feb. 2017,Lunes,La Rioja,Shopping - General,95,5,"0,00","0,57 €","5,26 %","0,00","0,11 €","6,00 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
25-feb-2017,Tablets,Feb. 2017,Sábado,Principado de Asturias,Shopping - General,59,1,"0,00","0,19 €","1,69 %","0,00","0,19 €","3,22 €","0,19 €","0,00 €","0,00 %","0,00","0,00","0,00"
10-may-2017,Móviles,May. 2017,Miércoles,Comunidad de Madrid,Shopping - General,16.519,444,"2,00","59,30 €","2,69 %","0,00","0,13 €","3,59 €","0,13 €","29,65 €","0,45 %","1,81","107,40","53,70"
22-mar-2017,Tablets,Mar. 2017,Miércoles,La Rioja,Shopping - General,6,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
